Feature,P,R,F1,Acc
sarcastic_features,72.12,42.43,53.43,63.83
Sarcastic_contrast_features,72.12,42.43,53.43,63.83
sarcastic_contrast_context_features,72.12,42.43,53.43,63.83
all_features,72.12,42.43,53.43,63.83
